103,18,3,2,3,0,4,9,7,6,21,31
53,228,70,10,5,9,8,8,7,10,40,0
19,158,1020,233,37,20,15,31,39,33,93,0
17,18,606,1600,287,69,42,24,36,23,87,0
5,6,56,880,1609,305,38,42,42,23,89,0
2,10,30,101,1028,1623,314,75,43,26,76,0
0,3,13,23,112,1100,1827,361,67,32,62,0
1,2,18,28,25,158,1229,2397,438,45,62,0
1,7,12,13,30,32,158,1309,2701,415,141,0
1,3,0,6,3,12,22,108,1078,2339,662,0
0,0,3,5,6,9,11,29,261,1256,11562,0
